horse,ball,bike,train,coal,book,doll,block,gloves,score,n_items
0,0,0,0,0,0,0,0,1,1.375,1
0,0,0,0,0,1,0,0,0,1.99989583587,1
0,1,0,0,0,0,0,0,0,2.00000000003,1
0,0,0,0,0,0,0,0,2,2.75,2
0,1,0,0,0,0,0,0,1,3.37500000004,2
0,0,0,0,0,1,0,0,1,3.39215494856,2
0,2,0,0,0,0,0,0,0,4.00000000008,2
0,1,0,0,0,1,0,0,0,4.0250000002499995,2
0,0,0,0,0,2,0,0,0,4.0499973708,2
0,0,0,0,0,0,0,0,3,4.125,3
0,1,0,0,0,0,0,0,2,4.75000000004,3
0,0,0,0,0,1,0,0,2,4.7844140593699995,3
0,0,0,0,0,0,1,0,0,5.0,1
1,0,0,0,0,0,0,0,0,5.035273814,1
0,2,0,0,0,0,0,0,1,5.375000000090001,3
0,1,0,0,0,1,0,0,1,5.41725911092,3
0,0,0,0,0,2,0,0,1,5.45973220849,3
0,0,0,0,0,0,0,0,4,5.5,4
0,3,0,0,0,0,0,0,0,6.00000000015,3
0,2,0,0,0,1,0,0,0,6.050104162459999,3
0,1,0,0,0,2,0,0,0,6.1005207810399975,3
0,1,0,0,0,0,0,0,3,6.12500000005,4
0,0,0,0,0,3,0,0,0,6.15124969471,3
0,0,0,0,0,1,0,0,3,6.1766731652699995,4
0,0,0,0,0,0,1,0,1,6.375,2
1,0,0,0,0,0,0,0,1,6.4105738064199995,2
0,2,0,0,0,0,0,0,2,6.75000000011,4
0,1,0,0,0,1,0,0,2,6.809518216440001,4
0,0,0,0,0,2,0,0,2,6.86946700491,4
0,0,0,0,0,0,0,0,5,6.875,5
0,1,0,0,0,0,1,0,0,7.00000000006,2
1,1,0,0,0,0,0,0,0,7.0357101666699995,2
0,0,0,0,0,1,1,0,0,7.0626562277100025,2
1,0,0,0,0,1,0,0,0,7.0988091398399975,2
0,3,0,0,0,0,0,0,1,7.37500000018,4
0,2,0,0,0,1,0,0,1,7.44236326758,4
0,1,0,0,0,0,0,0,4,7.50000000006,5
0,1,0,0,0,2,0,0,1,7.51025557335,4
0,0,0,0,0,1,0,0,4,7.56893225834,5
0,0,0,0,0,3,0,0,1,7.5786793338199985,4
0,0,0,0,0,0,1,0,2,7.75,3
1,0,0,0,0,0,0,0,2,7.785873798839999,3
0,4,0,0,0,0,0,0,0,8.00000000025,4
0,3,0,0,0,1,0,0,0,8.0752083187,4
0,2,0,0,0,0,0,0,3,8.125000000130001,5
0,2,0,0,0,2,0,0,0,8.15104414141,4
0,1,0,0,0,1,0,0,3,8.20177730849,5
0,1,0,0,0,3,0,0,0,8.2275111014,4
0,0,0,0,0,0,0,0,6,8.25,6
0,0,0,0,0,2,0,0,3,8.27920169933,5
0,0,0,0,0,4,0,0,0,8.30461245697,4
0,1,0,0,0,0,1,0,1,8.37500000007,3
1,1,0,0,0,0,0,0,1,8.4110101591,3
0,0,0,0,0,1,1,0,1,8.454915304570001,3
1,0,0,0,0,1,0,0,1,8.491371988280001,3
0,3,0,0,0,0,0,0,2,8.7500000002,5
0,2,0,0,0,1,0,0,2,8.83462235856,5
0,1,0,0,0,0,0,0,5,8.87500000007,6
0,1,0,0,0,2,0,0,2,8.91999025747,5
0,0,0,0,0,1,0,0,5,8.96119131775,6
0,2,0,0,0,0,1,0,0,9.00000000015,3
0,0,0,0,0,3,0,0,2,9.0061085177,5
1,2,0,0,0,0,0,0,0,9.03614651936,3
0,1,0,0,0,1,1,0,0,9.087760353430001,3
1,1,0,0,0,1,0,0,0,9.12435511002,3
0,0,0,0,0,0,1,0,3,9.125000000010001,4
1,0,0,0,0,0,0,0,3,9.161173791260001,4
0,0,0,0,0,2,1,0,0,9.17630551001,3
1,0,0,0,0,2,0,0,0,9.21335417043,3
0,4,0,0,0,0,0,0,1,9.37500000029,5
0,3,0,0,0,1,0,0,1,9.467467408560001,5
0,2,0,0,0,0,0,0,4,9.50000000014,6
0,2,0,0,0,2,0,0,1,9.56077881463,5
0,1,0,0,0,1,0,0,4,9.59403636522,6
0,0,0,0,0,0,0,0,7,9.625,7
0,1,0,0,0,3,0,0,1,9.654940230860001,5
0,0,0,0,0,2,0,0,4,9.6889361425,6
0,0,0,0,0,4,0,0,1,9.74995695313,5
0,1,0,0,0,0,1,0,2,9.75000000008,4
1,1,0,0,0,0,0,0,2,9.78631015152,4
0,0,0,0,0,1,1,0,2,9.847174321539999,4
1,0,0,0,0,1,0,0,2,9.88393479889,4
0,0,0,0,0,0,2,0,0,9.99999999996,2
0,5,0,0,0,0,0,0,0,10.0000000004,5
1,0,0,0,0,0,1,0,0,10.0363646955,2
2,0,0,0,0,0,0,0,0,10.0727447829,2
0,4,0,0,0,1,0,0,0,10.1003124585,5
0,3,0,0,0,0,0,0,3,10.1250000002,6
0,3,0,0,0,2,0,0,0,10.201567370800001,5
0,2,0,0,0,1,0,0,3,10.2268814125,6
0,1,0,0,0,0,0,0,6,10.2500000001,7
0,0,0,1,0,0,0,0,0,10.2762370114,1
0,2,0,0,0,3,0,0,0,10.303771937899999,5
0,1,0,0,0,2,0,0,3,10.3297246749,6
0,0,0,0,0,1,0,0,6,10.353450289,7
0,2,0,0,0,0,1,0,1,10.3750000002,4
0,1,0,0,0,4,0,0,0,10.4069325883,5
1,2,0,0,0,0,0,0,1,10.4114465118,4
0,0,0,0,0,3,0,0,3,10.4335366386,6
0,1,0,0,0,1,1,0,1,10.480019365599999,4
0,0,0,0,0,0,1,0,4,10.5,5
0,0,0,0,0,5,0,0,0,10.511054526699999,5
1,1,0,0,0,1,0,0,1,10.5169179176,4
1,0,0,0,0,0,0,0,4,10.5364737837,5
0,0,0,0,0,2,1,0,1,10.5860396706,4
1,0,0,0,0,2,0,0,1,10.6233961265,4
0,4,0,0,0,0,0,0,2,10.7500000003,6
0,3,0,0,0,1,0,0,2,10.859726459500001,6
0,2,0,0,0,0,0,0,5,10.8750000002,7
0,2,0,0,0,2,0,0,2,10.9705132049,6
0,1,0,0,0,1,0,0,5,10.9862953295,7
0,0,0,0,0,0,0,0,8,11.0,8
0,3,0,0,0,0,1,0,0,11.0000000003,4
1,3,0,0,0,0,0,0,0,11.0365828721,4
0,1,0,0,0,3,0,0,2,11.0823682222,6
0,0,0,0,0,2,0,0,5,11.098669969400001,7
0,2,0,0,0,1,1,0,0,11.1128644093,4
0,1,0,0,0,0,1,0,3,11.1250000001,5
1,2,0,0,0,1,0,0,0,11.1499010361,4
1,1,0,0,0,0,0,0,3,11.1616101439,5
0,0,0,0,0,4,0,0,2,11.195298100699999,6
0,1,0,0,0,2,1,0,0,11.2268281733,4
0,0,0,0,0,1,1,0,3,11.2394331816,5
1,1,0,0,0,2,0,0,0,11.264324458099999,4
1,0,0,0,0,1,0,0,3,11.2764975104,5
0,0,0,0,0,3,1,0,0,11.341899243199999,4
0,0,0,0,0,0,2,0,1,11.3749999996,3
0,5,0,0,0,0,0,0,1,11.3750000004,6
1,0,0,0,0,3,0,0,0,11.3798615897,4
1,0,0,0,0,0,1,0,1,11.4116646879,3
2,0,0,0,0,0,0,0,1,11.4483448332,3
0,4,0,0,0,1,0,0,1,11.492571506300001,6
0,3,0,0,0,0,0,0,4,11.5000000003,7
0,3,0,0,0,2,0,0,1,11.611301732200001,6
0,2,0,0,0,1,0,0,4,11.6191403693,7
0,1,0,0,0,0,0,0,7,11.6250000001,8
0,0,0,1,0,0,0,0,1,11.651615574400001,2
0,0,0,0,0,0,0,1,0,11.666666666700001,1
0,2,0,0,0,3,0,0,1,11.731199791,6
0,1,0,0,0,2,0,0,4,11.7394584379,7
0,0,0,0,0,1,0,0,7,11.7457090294,8
0,2,0,0,0,0,1,0,2,11.7500000002,5
1,2,0,0,0,0,0,0,2,11.7867465042,5
0,1,0,0,0,4,0,0,1,11.8522732696,6
0,0,0,0,0,3,0,0,4,11.8609622945,7
0,1,0,0,0,1,1,0,2,11.8722782132,5
0,0,0,0,0,0,1,0,5,11.8749999999,6
1,1,0,0,0,1,0,0,2,11.909480621300002,5
1,0,0,0,0,0,0,0,5,11.911773776099999,6
0,0,0,0,0,5,0,0,1,11.9745275281,6
0,0,0,0,0,2,1,0,2,11.9957728099,5
0,1,0,0,0,0,2,0,0,11.9999999998,3
0,6,0,0,0,0,0,0,0,12.0000000005,6
1,0,0,0,0,2,0,0,2,12.033437381099999,5
1,1,0,0,0,0,1,0,0,12.0368010482,3
2,1,0,0,0,0,0,0,0,12.073617583399999,3
0,4,0,0,0,0,0,0,3,12.1250000004,7
0,0,0,0,0,1,2,0,0,12.125415934000001,3
0,5,0,0,0,1,0,0,0,12.125416552899999,6
1,0,0,0,0,1,1,0,0,12.1626736812,3
2,0,0,0,0,1,0,0,0,12.1999470095,3
0,2,0,0,0,0,0,0,6,12.2500000002,8
0,3,0,0,0,1,0,0,3,12.2519854086,7
0,4,0,0,0,2,0,0,0,12.2520902567,6
0,1,0,1,0,0,0,0,0,12.2767876486,2
0,0,0,0,0,0,0,0,9,12.375,9
0,3,0,0,0,0,1,0,1,12.3750000003,5
0,1,0,0,0,1,0,0,6,12.378554051400002,8
0,3,0,0,0,3,0,0,0,12.3800313439,6
0,2,0,0,0,2,0,0,3,12.3802469,7
0,0,0,1,0,1,0,0,0,12.4056691678,2
1,3,0,0,0,0,0,0,1,12.4118828645,5
0,1,0,0,0,0,1,0,4,12.5,6
0,2,0,0,0,1,1,0,1,12.505123243699998,5
0,0,0,0,0,2,0,0,6,12.508402291600001,8
0,2,0,0,0,4,0,0,0,12.5092483774,6
0,1,0,0,0,3,0,0,3,12.5097935712,7
1,1,0,0,0,0,0,0,4,12.536910136400001,6
1,2,0,0,0,1,0,0,1,12.542463731400002,5
0,0,0,0,0,1,1,0,4,12.631691630699999,6
0,1,0,0,0,2,1,0,1,12.6365612048,5
0,1,0,0,0,5,0,0,0,12.639747463900001,6
0,0,0,0,0,4,0,0,3,12.6406318527,7
1,0,0,0,0,1,0,0,4,12.6690599624,6
